timestamp,value
0.102,0.14252
0.203,0.14560
0.303,0.15332
0.404,0.16121
0.504,0.17373
0.605,0.18453
0.707,0.18985
0.809,0.19997
0.909,0.20288
1.011,0.21369
1.112,0.22209
1.213,0.22810
1.313,0.23650
1.413,0.24610
1.515,0.25502
1.615,0.26342
1.717,0.27286
1.817,0.28315
1.918,0.29635
2.020,0.30098
2.120,0.31419
2.221,0.31899
2.322,0.32808
2.423,0.34180
2.523,0.34643
2.625,0.35500
2.725,0.36444
2.825,0.37284
2.926,0.37336
3.026,0.38365
3.127,0.38828
3.227,0.39908
3.327,0.40766
3.428,0.41829
3.528,0.42360
3.628,0.43441
3.728,0.44333
3.829,0.44882
3.929,0.45653
4.030,0.46597
4.130,0.47385
