Timestamp,Live Distance (cm),Displayed 5s Average (cm)
1749331652.1638346,29,29.317073170731707
1749331652.2373965,29,29.30952380952381
1749331652.310522,29,29.302325581395348
1749331652.3834028,29,29.295454545454547
1749331652.4577572,29,29.288888888888888
1749331652.5314555,29,29.282608695652176
1749331652.6034362,29,29.27659574468085
1749331652.6783788,30,29.291666666666668
1749331652.749986,29,29.285714285714285
1749331652.8226395,30,29.3
1749331652.897468,29,29.294117647058822
1749331652.970159,29,29.28846153846154
1749331653.0449145,29,29.28301886792453
1749331653.1159601,29,29.27777777777778
1749331653.213902,29,29.272727272727273
1749331653.2648373,30,29.285714285714285
1749331653.3381598,29,29.280701754385966
1749331653.4136362,30,29.29310344827586
1749331653.4843788,30,29.305084745762713
1749331653.5607622,29,29.3
1749331653.6318605,29,29.295081967213115
1749331653.7061424,29,29.29032258064516
1749331653.778753,29,29.285714285714285
1749331653.8522198,29,29.28125
1749331653.9253824,29,29.276923076923076
1749331653.998294,29,29.272727272727273
1749331654.0709314,29,29.26865671641791
1749331654.1480532,29,29.264705882352942
1749331654.2167704,30,29.27536231884058
1749331654.2899637,30,29.285714285714285
1749331654.363452,30,29.3
1749331654.4369311,29,29.3
1749331654.5106583,29,29.285714285714285
1749331654.5826619,29,29.271428571428572
1749331654.6562858,30,29.285714285714285
1749331654.7293766,29,29.271428571428572
1749331654.8021712,29,29.271428571428572
1749331654.8769298,30,29.271428571428572
1749331654.9497428,30,29.271428571428572
1749331655.023778,29,29.271428571428572
1749331655.0959773,29,29.257142857142856
1749331655.1706152,30,29.271428571428572
1749331655.2476218,29,29.271428571428572
1749331655.3169057,29,29.271428571428572
1749331655.3898122,29,29.271428571428572
1749331655.46412,30,29.271428571428572
1749331655.5390146,29,29.271428571428572
1749331655.6125755,29,29.271428571428572
1749331655.6833,29,29.257142857142856
1749331655.7572362,30,29.271428571428572
1749331655.8311813,29,29.271428571428572
1749331655.904377,29,29.271428571428572
