timestamp,value
1749049326.8222077,0.745
1749049326.841053,0.745
1749049326.8565152,0.746
1749049326.87161,0.745
1749049326.8916752,0.745
1749049326.9075055,0.745
1749049326.9236462,0.745
1749049326.9381838,0.745
1749049326.9568384,0.745
1749049326.9717278,0.745
1749049326.985717,0.745
1749049327.005663,0.745
1749049327.0211565,0.746
1749049327.0364635,0.746
1749049327.050443,0.745
1749049327.066758,0.745
1749049327.089316,0.745
1749049327.1051443,0.745
1749049327.1186268,0.745
1749049327.132321,0.745
1749049327.1507504,0.745
1749049327.1668222,0.745
1749049327.2033749,0.745
1749049327.2196634,0.745
1749049327.2331061,0.745
1749049327.2465634,0.745
1749049327.267443,0.745
1749049327.2836177,0.744
1749049327.2968729,0.745
1749049327.319018,0.744
1749049327.3377972,0.744
1749049327.3520737,0.744
1749049327.3652189,0.744
1749049327.3865712,0.743
1749049327.4009044,0.743
1749049327.415696,0.742
1749049327.4414506,0.741
1749049327.4549568,0.741
1749049327.4697218,0.741
1749049327.493392,0.739
1749049327.5077877,0.738
1749049327.520991,0.737
1749049327.5339324,0.738
1749049327.555287,0.738
1749049327.5697389,0.737
1749049327.6039953,0.738
1749049327.6180627,0.737
1749049327.6328166,0.737
1749049327.65834,0.738
1749049327.6725633,0.739
1749049327.688004,0.739
1749049327.7027712,0.738
1749049327.7193956,0.738
1749049327.7354121,0.737
1749049327.7693806,0.737
1749049327.7845993,0.738
1749049327.7976248,0.735
1749049327.8114913,0.734
1749049327.8323848,0.732
1749049327.8469021,0.733
1749049327.8629622,0.731
1749049327.8857822,0.729
1749049327.9013774,0.726
1749049327.915849,0.723
1749049327.9419105,0.722
1749049327.9573781,0.72
1749049327.9713583,0.717
1749049327.9983087,0.715
1749049328.0128927,0.714
1749049328.027374,0.712
1749049328.0531,0.711
1749049328.0680609,0.71
1749049328.0827718,0.709
1749049328.096541,0.709
1749049328.1157732,0.708
1749049328.1322634,0.708
1749049328.1472437,0.707
1749049328.1603992,0.707
1749049328.1867106,0.707
1749049328.2005765,0.706
1749049328.214414,0.704
1749049328.226723,0.704
1749049328.2514594,0.702
1749049328.2671432,0.7
1749049328.2802784,0.699
1749049328.3116276,0.699
1749049328.3266008,0.699
1749049328.3392866,0.695
1749049328.3674674,0.691
1749049328.381553,0.69
1749049328.3945541,0.689
1749049328.406671,0.685
1749049328.4360654,0.683
1749049328.4506552,0.681
1749049328.4662504,0.678
1749049328.4893394,0.677
1749049328.502553,0.672
1749049328.5153713,0.67
1749049328.5435982,0.666
1749049328.5588298,0.664
1749049328.5716043,0.659
1749049328.5933168,0.657
1749049328.608691,0.654
1749049328.623691,0.65
1749049328.6387913,0.649
1749049328.66749,0.645
1749049328.68321,0.642
1749049328.6980946,0.641
1749049328.7115538,0.638
1749049328.7394605,0.637
1749049328.7542582,0.635
1749049328.7868874,0.633
1749049328.8015518,0.634
1749049328.8151033,0.631
1749049328.8299115,0.629
1749049328.8472095,0.628
1749049328.8636575,0.627
1749049328.8784823,0.625
1749049328.9088213,0.622
1749049328.9261174,0.62
1749049328.940416,0.617
1749049328.9646747,0.614
1749049328.9807162,0.61
1749049328.9953709,0.609
1749049329.0169942,0.604
1749049329.0348248,0.601
1749049329.0506501,0.595
1749049329.0649118,0.593
1749049329.1205685,0.587
1749049329.1451528,0.585
1749049329.1624653,0.58
1749049329.17755,0.578
1749049329.1943142,0.575
1749049329.2093296,0.571
1749049329.22364,0.57
1749049329.2436578,0.567
