timestamp,value
1749049262.3602407,0.915
1749049262.3762844,0.914
1749049262.390904,0.915
1749049262.4065564,0.915
1749049262.4806163,0.914
1749049262.4968023,0.914
1749049262.5131617,0.915
1749049262.5293374,0.915
1749049262.5468457,0.915
1749049262.5632007,0.915
1749049262.5776901,0.915
1749049262.5948544,0.915
1749049262.61095,0.915
1749049262.6272786,0.914
1749049262.646272,0.915
1749049262.6624684,0.914
1749049262.6770303,0.915
1749049262.692279,0.915
1749049262.7088587,0.915
1749049262.722807,0.914
1749049262.7376869,0.914
1749049262.7544699,0.914
1749049262.7714272,0.915
1749049262.786975,0.915
1749049262.8074455,0.914
1749049262.8243241,0.914
1749049262.8385546,0.914
1749049262.8530269,0.914
1749049262.8691525,0.915
1749049262.8858573,0.915
1749049262.901774,0.914
1749049262.946225,0.914
1749049262.9710286,0.915
1749049262.9958432,0.914
1749049263.0116053,0.914
1749049263.0303216,0.914
1749049263.0503654,0.915
1749049263.067245,0.914
1749049263.0818155,0.914
1749049263.1029482,0.915
1749049263.1188,0.914
1749049263.1333203,0.915
1749049263.1492538,0.914
1749049263.1689022,0.914
1749049263.184985,0.914
1749049263.2003062,0.915
1749049263.216224,0.915
1749049263.2309089,0.914
1749049263.2448208,0.914
1749049263.2593853,0.915
1749049263.277679,0.915
1749049263.2948313,0.914
1749049263.3092647,0.914
1749049263.3239655,0.914
1749049263.3400671,0.914
1749049263.3537285,0.914
1749049263.3688898,0.915
1749049263.3821259,0.915
1749049263.4302945,0.914
1749049263.470761,0.914
1749049263.487705,0.915
1749049263.5044754,0.915
1749049263.5226257,0.914
1749049263.5408728,0.915
1749049263.5571406,0.914
1749049263.5760124,0.914
1749049263.5950675,0.914
1749049263.6104128,0.914
1749049263.6320128,0.915
1749049263.648601,0.914
1749049263.6656528,0.914
1749049263.685324,0.914
1749049263.702243,0.914
1749049263.7179904,0.915
1749049263.737561,0.914
1749049263.7538793,0.915
1749049263.7682552,0.914
1749049263.7842925,0.914
1749049263.803781,0.915
1749049263.8200352,0.914
1749049263.8354182,0.914
1749049263.8500736,0.915
1749049263.8656216,0.914
1749049263.8817327,0.914
1749049263.8961189,0.915
1749049263.9429967,0.914
1749049263.9656906,0.914
1749049263.9917738,0.915
1749049264.0103517,0.915
1749049264.0260813,0.915
1749049264.0461447,0.915
1749049264.0619433,0.914
1749049264.0762353,0.915
1749049264.0939023,0.914
1749049264.1097772,0.914
1749049264.1261852,0.914
1749049264.1467106,0.914
1749049264.1628277,0.914
1749049264.1771982,0.914
1749049264.1923468,0.915
1749049264.2110264,0.914
1749049264.2279327,0.915
1749049264.2436051,0.915
1749049264.2608688,0.915
1749049264.2756054,0.915
1749049264.290155,0.914
1749049264.305229,0.915
1749049264.3235621,0.914
1749049264.337227,0.914
1749049264.3526518,0.915
1749049264.369675,0.915
1749049264.3857186,0.914
1749049264.3992963,0.915
1749049264.414457,0.915
1749049264.4893854,0.915
1749049264.5071933,0.915
1749049264.5223436,0.914
1749049264.5421567,0.914
1749049264.55808,0.914
1749049264.5740361,0.915
1749049264.5921504,0.915
1749049264.6111217,0.914
1749049264.6273093,0.915
1749049264.6438854,0.915
1749049264.6631565,0.915
1749049264.678987,0.915
1749049264.6966288,0.914
1749049264.7120183,0.915
1749049264.7261276,0.914
1749049264.7407303,0.915
1749049264.7622883,0.914
1749049264.7768657,0.915
1749049264.7921436,0.915
1749049264.8088164,0.915
1749049264.8245175,0.914
1749049264.841376,0.914
1749049264.8610752,0.914
1749049264.8767555,0.914
1749049264.8938353,0.914
1749049264.9422376,0.914
1749049264.9890735,0.914
1749049265.0057673,0.914
1749049265.022659,0.914
1749049265.0389187,0.914
1749049265.0624828,0.914
1749049265.0771875,0.914
1749049265.092678,0.914
1749049265.1112251,0.914
1749049265.12707,0.914
1749049265.1440177,0.914
1749049265.1620903,0.914
1749049265.180695,0.914
