timestamp,value
1749058278.272754,0.84
1749058278.318786,0.837
1749058278.3604789,0.839
1749058278.4033275,0.839
1749058278.4503884,0.839
1749058278.4911704,0.838
1749058278.53094,0.841
1749058278.5726347,0.838
1749058278.6138294,0.839
1749058278.652375,0.839
1749058278.6947026,0.839
1749058278.7802258,0.84
1749058278.8242972,0.84
1749058278.8674412,0.841
1749058278.9158783,0.84
1749058278.9557993,0.841
1749058278.9974372,0.838
1749058279.0399926,0.838
1749058279.0807207,0.839
1749058279.1262982,0.84
1749058279.1672583,0.839
1749058279.2071366,0.84
1749058279.2448967,0.839
1749058279.321621,0.838
1749058279.3718042,0.838
1749058279.415242,0.84
1749058279.4567506,0.839
1749058279.4978933,0.838
1749058279.5439513,0.838
1749058279.5882037,0.84
1749058279.6275868,0.841
1749058279.6676674,0.839
1749058279.7060204,0.837
1749058279.7445657,0.838
1749058279.8037915,0.837
1749058279.846752,0.837
1749058279.888558,0.827
1749058279.9280558,0.837
1749058279.9687996,0.838
1749058280.008433,0.839
1749058280.04735,0.838
1749058280.0882158,0.838
1749058280.129988,0.838
1749058280.1703858,0.84
1749058280.2121925,0.839
1749058280.251894,0.826
1749058280.2885618,0.839
1749058280.3580782,0.838
1749058280.4041667,0.839
1749058280.4499755,0.839
1749058280.4907026,0.839
1749058280.5318487,0.826
1749058280.5701652,0.838
1749058280.6090746,0.838
1749058280.6519494,0.838
1749058280.692553,0.837
1749058280.7303922,0.84
1749058280.769633,0.838
1749058280.836737,0.837
1749058280.889822,0.84
1749058280.9311264,0.839
1749058280.9790857,0.841
1749058281.0302248,0.838
1749058281.0749247,0.836
1749058281.120266,0.838
1749058281.1664755,0.837
1749058281.2082784,0.836
1749058281.2490344,0.838
1749058281.3313487,0.839
1749058281.3807855,0.837
1749058281.4287643,0.838
1749058281.475841,0.839
1749058281.5179894,0.84
1749058281.560506,0.838
1749058281.6002972,0.826
1749058281.638255,0.838
1749058281.6786656,0.84
1749058281.7162204,0.839
1749058281.789894,0.838
1749058281.8344467,0.837
1749058281.8861701,0.838
1749058281.9321928,0.826
1749058281.9782944,0.837
1749058282.0360625,0.838
1749058282.0815804,0.826
1749058282.1260285,0.837
1749058282.1703293,0.839
1749058282.2112482,0.826
1749058282.2945187,0.84
1749058282.351689,0.837
1749058282.395515,0.836
1749058282.4383662,0.84
1749058282.481302,0.84
1749058282.5274749,0.838
1749058282.5710962,0.837
1749058282.6128366,0.839
1749058282.6532927,0.826
1749058282.694261,0.839
1749058282.9767358,0.839
1749058283.0430658,0.839
1749058283.0914936,0.838
1749058283.1452513,0.837
1749058283.1896958,0.841
1749058283.2323864,0.84
1749058283.31537,0.84
1749058283.3600752,0.839
1749058283.4050322,0.839
1749058283.4506252,0.838
1749058283.4956243,0.839
1749058283.5411959,0.836
1749058283.5930693,0.838
1749058283.6367333,0.839
1749058283.6787467,0.826
1749058283.7192357,0.826
1749058283.7612095,0.837
1749058283.8394778,0.84
1749058283.8959773,0.826
1749058283.948832,0.826
1749058283.995232,0.827
1749058284.0493681,0.827
1749058284.101459,0.837
1749058284.146441,0.837
1749058284.1932693,0.826
1749058284.2334933,0.837
1749058284.3105898,0.838
1749058284.356351,0.837
1749058284.4054408,0.826
1749058284.448582,0.838
1749058284.4905953,0.839
1749058284.5320754,0.837
1749058284.5723095,0.837
1749058284.6173942,0.837
1749058284.6593301,0.838
1749058284.698001,0.826
1749058284.739769,0.826
1749058284.8207207,0.839
1749058284.8652277,0.839
1749058284.9058325,0.839
1749058284.9460251,0.838
1749058284.9888723,0.837
1749058285.0307357,0.839
1749058285.0719771,0.837
1749058285.1153653,0.838
1749058285.1553745,0.838
1749058285.193845,0.837
1749058285.2374775,0.838
1749058285.2772002,0.84
1749058285.3157535,0.837
1749058285.3888264,0.841
1749058285.4339962,0.837
1749058285.480515,0.839
1749058285.5233002,0.838
1749058285.5676186,0.837
1749058285.6099122,0.84
1749058285.6475596,0.838
1749058285.6895018,0.838
1749058285.731327,0.826
1749058285.776728,0.826
1749058285.8163397,0.837
1749058285.8746598,0.838
1749058285.9180236,0.837
1749058285.9593785,0.84
1749058285.9992402,0.841
1749058286.0416262,0.838
1749058286.0823603,0.838
1749058286.1198447,0.838
1749058286.1601067,0.839
1749058286.1987693,0.839
1749058286.237908,0.836
1749058286.284683,0.84
1749058286.358368,0.836
1749058286.4014285,0.837
1749058286.4501796,0.842
1749058286.4940224,0.837
1749058286.5416803,0.839
1749058286.5882971,0.839
1749058286.6306276,0.838
1749058286.6762476,0.827
1749058286.7189114,0.84
1749058286.7607844,0.838
1749058286.8312852,0.838
1749058286.8776507,0.839
1749058286.9210665,0.84
1749058286.9645517,0.838
1749058287.0096588,0.838
1749058287.0527565,0.838
1749058287.1037586,0.84
1749058287.1488733,0.837
1749058287.1915765,0.826
1749058287.2364655,0.826
1749058287.275791,0.839
1749058287.3407862,0.838
1749058287.3835528,0.838
1749058287.4276743,0.826
1749058287.4730303,0.826
1749058287.5147254,0.839
1749058287.554113,0.839
1749058287.5923667,0.826
1749058287.6362336,0.837
1749058287.6737874,0.838
1749058287.7139509,0.837
1749058287.753625,0.838
1749058287.7927103,0.837
1749058287.8732774,0.837
1749058287.914697,0.839
1749058287.9620078,0.839
1749058288.0060418,0.826
1749058288.0495403,0.839
1749058288.0980868,0.838
1749058288.139629,0.838
1749058288.1844347,0.839
1749058288.227056,0.838
1749058288.2693279,0.837
1749058288.308416,0.838
1749058288.374425,0.837
1749058288.418863,0.839
1749058288.459281,0.826
1749058288.5013065,0.838
1749058288.541038,0.841
1749058288.5836227,0.838
1749058288.6234455,0.837
1749058288.6635041,0.839
1749058288.7029235,0.838
1749058288.7430813,0.842
1749058288.7840037,0.838
1749058288.8569202,0.839
1749058288.9040222,0.839
1749058288.9442592,0.839
1749058288.992065,0.84
1749058289.0399513,0.839
1749058289.0815797,0.839
1749058289.1215703,0.838
1749058289.1634994,0.826
1749058289.2019975,0.837
1749058289.2428603,0.839
1749058289.2850928,0.837
1749058289.353946,0.838
1749058289.3970912,0.84
1749058289.4399617,0.837
1749058289.4790025,0.838
1749058289.524962,0.827
1749058289.5694761,0.838
1749058289.6104772,0.826
1749058289.6508934,0.839
1749058289.6925926,0.84
1749058289.7351093,0.839
1749058289.7743936,0.838
1749058289.8155644,0.84
1749058289.8920238,0.837
1749058289.933558,0.84
1749058289.9724407,0.839
1749058290.0117316,0.839
1749058290.0555258,0.826
1749058290.0959072,0.826
1749058290.137697,0.837
1749058290.1844888,0.84
1749058290.2232716,0.839
1749058290.2653787,0.839
1749058290.305045,0.826
