sensor_type,avg_value
Camera,13.478611595816206
Camera,8.644051940791396
Camera,10.863239276747674
Camera,12.291336770368655
Camera,11.222180071238325
Camera,15.215097195338704
manual,1.0
Camera,15.215097195338704
Camera,13.308777508655568
Camera,13.485289115241653
Camera,15.4135136021585
manual,3.0
Camera,9.512983123548844
Camera,8.877671531498404
Camera,9.682145834033605
Camera,9.53196366207525
