timestamp,value,mode
1749378082.4778693,0.5395421581980137,DISTANCE MEASURING MODE
1749378082.5104005,0.5394905915213827,DISTANCE MEASURING MODE
1749378082.5334477,0.5391841223885124,DISTANCE MEASURING MODE
1749378082.551351,0.5391323132865008,DISTANCE MEASURING MODE
1749378082.5829837,0.539108398867841,DISTANCE MEASURING MODE
1749378082.5980544,0.5392816419615741,DISTANCE MEASURING MODE
1749378082.6197176,0.5392389517594568,DISTANCE MEASURING MODE
1749378082.635458,0.5396840409295338,DISTANCE MEASURING MODE
1749378082.650738,0.5396490433235173,DISTANCE MEASURING MODE
1749378082.679546,0.5392826117954368,DISTANCE MEASURING MODE
1749378082.7000253,0.5386803232205178,DISTANCE MEASURING MODE
1749378082.7336392,0.5393680192696291,DISTANCE MEASURING MODE
1749378082.749263,0.5396116605937942,DISTANCE MEASURING MODE
1749378082.7774243,0.5391186444731175,DISTANCE MEASURING MODE
1749378082.7917569,0.539831532269865,DISTANCE MEASURING MODE
1749378082.8097868,0.5391926749678825,DISTANCE MEASURING MODE
1749378082.8256874,0.5390607764559763,DISTANCE MEASURING MODE
1749378082.8576415,0.5397092001820316,DISTANCE MEASURING MODE
1749378082.8728619,0.5395774236787877,DISTANCE MEASURING MODE
1749378082.88933,0.5396574914954911,DISTANCE MEASURING MODE
1749378082.905098,0.5394715518061318,DISTANCE MEASURING MODE
1749378082.9372206,0.5390676343210309,DISTANCE MEASURING MODE
1749378082.9533176,0.538890610556793,DISTANCE MEASURING MODE
1749378082.9738958,0.5396603389326391,DISTANCE MEASURING MODE
1749378082.99004,0.5394253440626965,DISTANCE MEASURING MODE
1749378083.0201528,0.5392768022660163,DISTANCE MEASURING MODE
1749378083.0357642,0.5394069548248711,DISTANCE MEASURING MODE
1749378083.0566795,0.5397420382725504,DISTANCE MEASURING MODE
1749378083.0928795,0.5392301801301904,DISTANCE MEASURING MODE
1749378083.110223,0.5389770126960355,DISTANCE MEASURING MODE
1749378083.144755,0.5397241462738418,DISTANCE MEASURING MODE
1749378083.160623,0.5394411322428452,DISTANCE MEASURING MODE
1749378083.1805174,0.5394787376824476,DISTANCE MEASURING MODE
1749378083.1955793,0.5395977139428252,DISTANCE MEASURING MODE
1749378083.222811,0.5393482140687854,DISTANCE MEASURING MODE
1749378083.2387073,0.5391535259344215,DISTANCE MEASURING MODE
1749378083.2586193,0.5393873625925305,DISTANCE MEASURING MODE
1749378083.2728214,0.5388412031611285,DISTANCE MEASURING MODE
1749378083.3062375,0.5399148671941529,DISTANCE MEASURING MODE
1749378083.3218923,0.539587480222907,DISTANCE MEASURING MODE
1749378083.34439,0.5394212682239667,DISTANCE MEASURING MODE
1749378083.3614864,0.5393210631725242,DISTANCE MEASURING MODE
1749378083.3909674,0.5399358960705225,DISTANCE MEASURING MODE
1749378083.4048653,0.539225393412634,DISTANCE MEASURING MODE
1749378083.4277472,0.5394872245316928,DISTANCE MEASURING MODE
1749378083.4436677,0.5398070752801971,DISTANCE MEASURING MODE
1749378083.4767306,0.5393407554962013,DISTANCE MEASURING MODE
1749378083.493202,0.5390370230985413,DISTANCE MEASURING MODE
1749378083.5137033,0.5400731057609885,DISTANCE MEASURING MODE
1749378083.5311987,0.5389850712740804,DISTANCE MEASURING MODE
1749378083.5612206,0.5393051140946447,DISTANCE MEASURING MODE
1749378083.5759919,0.5392753610596625,DISTANCE MEASURING MODE
1749378083.5993152,0.5392196390296462,DISTANCE MEASURING MODE
1749378083.616315,0.5392913552377616,DISTANCE MEASURING MODE
1749378083.643594,0.53932721125772,DISTANCE MEASURING MODE
1749378083.6589797,0.5393952755403362,DISTANCE MEASURING MODE
1749378083.6796157,0.5392898553677659,DISTANCE MEASURING MODE
1749378083.6955545,0.5395254779568474,DISTANCE MEASURING MODE
1749378083.7258914,0.5388207213648282,DISTANCE MEASURING MODE
1749378083.7415817,0.5392857320734403,DISTANCE MEASURING MODE
1749378083.7643447,0.5395714469368282,DISTANCE MEASURING MODE
1749378083.781215,0.5395119201814436,DISTANCE MEASURING MODE
1749378083.8105357,0.5392842903549098,DISTANCE MEASURING MODE
1749378083.825851,0.5393391216299633,DISTANCE MEASURING MODE
1749378083.8477798,0.5393386692676797,DISTANCE MEASURING MODE
1749378083.865622,0.5393186538882114,DISTANCE MEASURING MODE
1749378083.8951447,0.5388840775911884,DISTANCE MEASURING MODE
1749378083.9102366,0.5393917589906071,DISTANCE MEASURING MODE
1749378083.9321723,0.5396164282800404,DISTANCE MEASURING MODE
1749378083.94758,0.5394628003283395,DISTANCE MEASURING MODE
1749378083.9766748,0.5390071994978336,DISTANCE MEASURING MODE
1749378083.991713,0.5391792314283679,DISTANCE MEASURING MODE
1749378084.007789,0.5391336104346384,DISTANCE MEASURING MODE
1749378084.024362,0.5392704777719275,DISTANCE MEASURING MODE
1749378084.056643,0.5389769555947261,DISTANCE MEASURING MODE
1749378084.0896852,0.5394133073718177,DISTANCE MEASURING MODE
1749378084.1052134,0.5391567100860398,DISTANCE MEASURING MODE
1749378084.1368403,0.5397978841071724,DISTANCE MEASURING MODE
1749378084.1542199,0.5397316531659719,DISTANCE MEASURING MODE
1749378084.1728919,0.5397274042661868,DISTANCE MEASURING MODE
1749378084.1893525,0.5393777596384336,DISTANCE MEASURING MODE
1749378084.216835,0.5389539180451939,DISTANCE MEASURING MODE
1749378084.2327268,0.5396315383833662,DISTANCE MEASURING MODE
1749378084.2525337,0.5394498618781047,DISTANCE MEASURING MODE
1749378084.2685206,0.5391250871888711,DISTANCE MEASURING MODE
