Relative Timestamp (s),Live Distance (cm)
0.016851425170898438,29
0.06908392906188965,29
0.14363312721252441,29
0.21468424797058105,29
0.2890932559967041,29
0.3604612350463867,29
0.4344360828399658,29
0.5077927112579346,29
0.5810494422912598,29
0.6556105613708496,29
0.7285032272338867,29
0.7998309135437012,29
0.8728699684143066,29
0.9475739002227783,29
1.019808292388916,29
1.0949046611785889,29
1.1676092147827148,29
1.239819049835205,29
1.3136601448059082,29
1.3851938247680664,29
1.4597291946411133,29
1.532850980758667,28
1.6049678325653076,29
1.6790542602539062,29
1.7523417472839355,29
1.8274450302124023,29
1.8998818397521973,29
1.9728093147277832,29
2.049464464187622,29
2.1191647052764893,29
2.1922333240509033,29
2.266613006591797,28
2.3397645950317383,29
2.4140522480010986,29
2.486372232437134,29
2.5609066486358643,29
2.6354353427886963,29
2.7069902420043945,29
2.7804555892944336,29
2.8552539348602295,29
2.9596009254455566,29
3.0156185626983643,29
3.076601505279541,29
3.148465633392334,29
3.220581293106079,29
3.294156312942505,29
3.3680176734924316,29
3.4445791244506836,29
3.515113115310669,29
3.5879786014556885,29
3.6624488830566406,28
3.7360217571258545,29
3.8082618713378906,29
3.8823399543762207,29
3.955939769744873,29
4.03006386756897,29
4.101729393005371,29
4.175203561782837,29
4.247861385345459,28
4.321386337280273,29
4.393595218658447,29
4.4673590660095215,29
4.544381618499756,30
4.615180015563965,30
4.686841011047363,29
4.761587619781494,28
4.836650609970093,29
