timestamp,value
0.023797,1.86
0.073519,1.86
0.145744,1.77
0.207594,1.77
0.265718,1.77
0.337325,1.77
0.399661,1.77
0.456217,1.77
0.517973,1.77
0.580291,1.77
0.652767,1.77
0.719264,1.77
0.773738,2.04
0.842167,2.04
0.901370,2.04
0.969442,2.04
1.035041,2.04
1.157707,2.04
1.164812,2.04
1.280809,2.04
1.343516,2.04
1.407714,1.97
1.471445,1.97
1.538097,1.97
1.605867,1.97
1.660057,1.97
1.723604,1.97
1.792421,1.97
1.843975,1.97
1.899119,1.97
1.954799,2.07
2.012850,2.07
2.081489,2.07
2.140035,2.07
2.205510,2.07
2.434038,2.07
2.435883,2.07
2.436557,2.07
2.483569,2.07
2.545272,2.07
2.606218,2.07
2.669180,2.04
2.735576,2.04
2.790390,2.04
2.862856,2.04
2.933864,2.04
3.005095,2.04
3.073455,2.04
3.131331,2.04
3.196648,2.04
3.251797,2.04
3.315678,1.98
3.388681,1.98
3.453564,1.98
3.505263,1.98
3.589649,1.98
3.662952,1.98
3.715042,0.03
3.784064,0.03
3.840401,0.03
3.896260,0.03
3.965249,0.03
4.013985,0.03
4.067195,0.03
4.142835,0.03
4.223604,0.03
4.283229,0.03
4.353218,0.03
4.421951,0.03
4.478631,0.03
4.544417,0.03
4.608295,0.03
4.671855,0.03
4.744245,0.03
4.805882,0.03
4.864329,0.03
4.935102,0.03
5.001768,0.03
5.056688,0.03
5.124872,0.03
5.193186,0.03
5.248922,0.03
5.316918,0.03
5.376630,0.03
5.439523,0.03
5.506668,0.03
5.577510,0.03
5.632320,0.03
5.640455,0.03
5.703528,0.03
5.766498,0.03
5.827793,0.03
5.897725,0.03
5.965869,0.03
6.096839,0.03
6.107252,0.03
6.167092,0.03
6.223581,0.03
6.287142,0.03
6.353134,0.03
6.415308,0.03
6.480375,0.03
6.607284,0.03
6.664923,0.03
6.728825,0.03
6.786531,0.03
6.861808,0.03
6.923052,0.03
6.980013,0.03
7.043893,2.09
7.153284,2.09
7.162175,2.09
7.229345,2.09
7.426989,2.09
7.427635,2.09
7.475025,2.09
7.538563,2.09
7.610766,2.09
7.666082,2.09
7.744005,2.0
7.812932,2.0
7.867743,2.0
7.936855,2.0
8.062069,2.0
8.105567,1.36
8.161772,1.36
8.224848,1.36
8.286438,0.03
8.350111,0.03
8.414729,0.03
8.482838,0.03
8.603095,0.03
8.610973,0.03
8.669220,0.03
8.796123,0.03
8.856221,0.03
8.918940,0.03
8.982168,0.03
8.989976,0.03
9.111476,0.03
9.120807,0.03
9.234729,0.03
9.297471,0.03
9.360463,0.03
9.424464,0.03
9.487081,0.03
9.550654,0.03
9.622165,0.03
9.678585,0.03
9.743526,0.03
9.810349,0.03
9.872004,0.03
9.934060,0.03
9.997304,0.03
10.058346,0.03
10.122404,0.03
10.153060,0.03
10.227329,0.03
10.355561,0.03
10.417040,0.03
10.424526,0.03
10.561044,0.03
10.627976,0.03
10.632500,0.03
10.688847,0.03
10.756644,0.03
10.816925,0.03
10.878406,0.03
10.943091,0.03
11.028607,0.03
11.067375,0.03
11.132857,0.03
11.199389,0.03
11.262237,0.03
11.323792,0.03
11.385845,0.03
11.450020,0.03
11.509750,0.03
11.579899,0.03
11.646281,0.03
11.705049,0.03
11.777352,0.03
11.832294,0.03
11.896807,0.03
11.959147,0.03
12.021622,0.03
12.088904,0.03
12.151495,0.03
12.222642,0.03
12.411134,0.03
12.413191,0.03
12.458622,0.03
12.529244,0.03
12.599892,0.03
12.650528,0.03
12.713638,0.03
12.782792,0.03
12.856959,0.03
12.907939,0.03
12.975138,0.03
13.034467,0.03
13.108448,0.03
13.165209,0.03
13.226522,0.03
13.291601,0.03
13.360401,0.03
13.415926,0.03
13.481058,0.03
13.544860,0.03
13.618885,0.03
13.676428,0.03
13.740411,0.03
13.801083,0.03
13.865150,0.03
13.929735,0.03
13.999741,0.03
14.006911,0.03
14.064080,0.03
14.183195,0.03
14.190740,0.03
14.284794,0.03
14.322478,0.03
14.395872,0.03
14.460743,0.03
14.520083,0.03
14.641886,0.03
14.652039,0.03
14.710807,0.03
14.788014,0.03
14.850758,0.03
14.914232,0.03
14.978528,0.03
15.058945,0.03
15.121922,0.03
15.180283,0.03
15.246999,0.03
15.312692,0.03
15.367590,0.03
15.428545,0.03
15.496337,0.03
15.564918,0.03
15.625222,0.03
15.690612,0.03
15.750010,0.03
15.813906,0.03
15.879447,0.03
15.940317,0.03
16.002656,0.03
16.069752,0.03
16.131060,0.03
16.198453,0.03
16.251230,0.03
16.322378,0.03
16.385265,0.03
16.458144,0.03
16.522938,0.03
16.601419,0.03
16.655651,0.03
16.722896,0.03
16.781034,0.03
16.871357,0.03
16.932114,0.03
16.988997,0.03
17.057186,0.03
17.123506,0.03
17.178322,0.03
17.231973,0.03
17.447271,0.03
17.447986,0.03
17.448610,0.03
17.492405,0.03
17.549341,0.03
17.618737,0.03
17.684264,0.03
17.742920,0.03
17.808102,0.03
17.870181,0.03
17.934646,0.03
17.996908,0.03
18.060533,0.03
18.127589,0.03
18.189440,0.03
18.251097,0.03
