timestamp,value
1749231834.4826798,0.745
1749231834.5018804,0.745
1749231834.5290294,0.743
1749231834.5501661,0.745
1749231834.568787,0.744
1749231834.58522,0.745
1749231834.6188054,0.745
1749231834.6442554,0.746
1749231834.6601577,0.744
1749231834.6908836,0.743
1749231834.707834,0.746
1749231834.7312932,0.744
1749231834.7453947,0.745
1749231834.761287,0.744
1749231834.7897308,0.746
1749231834.81713,0.745
1749231834.8333309,0.744
1749231834.8468866,0.745
1749231834.867417,0.745
1749231834.886662,0.746
1749231834.912548,0.745
1749231834.930176,0.744
1749231834.9461052,0.745
1749231834.9756613,0.744
1749231834.9961185,0.745
1749231835.0118346,0.744
1749231835.026457,0.744
1749231835.0397084,0.744
1749231835.0673912,0.745
1749231835.0882206,0.744
1749231835.1020021,0.744
1749231835.116333,0.744
1749231835.1428628,0.744
1749231835.1688244,0.745
1749231835.191913,0.745
1749231835.207094,0.744
1749231835.221529,0.744
1749231835.2431176,0.744
1749231835.2637506,0.746
1749231835.2775874,0.743
1749231835.3004375,0.743
1749231835.3185897,0.744
1749231835.3394036,0.743
1749231835.3571458,0.744
1749231835.3719468,0.744
1749231835.434483,0.743
1749231835.4504213,0.743
1749231835.474529,0.744
1749231835.4945576,0.743
1749231835.521942,0.743
1749231835.5374033,0.743
1749231835.5587566,0.743
1749231835.5777817,0.744
1749231835.606297,0.744
1749231835.621353,0.742
1749231835.6526358,0.744
1749231835.6657195,0.743
1749231835.6808426,0.743
1749231835.695083,0.744
1749231835.7219625,0.745
1749231835.7420897,0.744
1749231835.75975,0.744
1749231835.7755291,0.745
1749231835.7900789,0.745
1749231835.817571,0.745
1749231835.834462,0.744
1749231835.848943,0.744
1749231835.8678572,0.745
1749231835.8827279,0.744
1749231835.895619,0.744
1749231835.921548,0.744
1749231835.9513936,0.744
1749231835.9660406,0.745
1749231835.9804218,0.745
1749231836.0071964,0.744
1749231836.0240548,0.744
1749231836.0583699,0.744
1749231836.0744064,0.744
1749231836.0952916,0.744
1749231836.1147707,0.745
1749231836.144109,0.744
1749231836.1600695,0.745
1749231836.1941864,0.745
1749231836.2081525,0.745
1749231836.2796729,0.744
1749231836.296719,0.744
1749231836.3191879,0.744
1749231836.3391967,0.744
1749231836.3667877,0.745
1749231836.382255,0.745
1749231836.3971534,0.745
1749231836.4231052,0.744
1749231836.4544868,0.744
1749231836.4706876,0.744
1749231836.4939141,0.744
1749231836.5132718,0.744
1749231836.5448046,0.743
1749231836.5616207,0.744
1749231836.5944557,0.743
1749231836.6248586,0.744
1749231836.6421309,0.744
1749231836.6586182,0.745
1749231836.6854908,0.744
1749231836.7019982,0.744
1749231836.7318184,0.743
1749231836.746918,0.744
1749231836.7712965,0.744
1749231836.7919412,0.743
1749231836.822569,0.744
1749231836.8379219,0.744
1749231836.870098,0.745
1749231836.885166,0.744
1749231836.899948,0.745
1749231836.9293282,0.744
1749231836.9622974,0.744
1749231836.9781213,0.743
1749231836.9989512,0.744
1749231837.0193923,0.744
1749231837.0465238,0.744
1749231837.063039,0.744
1749231837.0857592,0.744
1749231837.1064873,0.744
1749231837.1321607,0.744
1749231837.1493416,0.745
1749231837.1822238,0.743
1749231837.2103112,0.744
1749231837.2286758,0.745
1749231837.243241,0.744
1749231837.2718043,0.745
1749231837.287943,0.744
1749231837.3173141,0.744
1749231837.3328905,0.744
1749231837.3671758,0.744
1749231837.381888,0.744
1749231837.405505,0.743
1749231837.4199555,0.744
1749231837.4331284,0.745
1749231837.4583688,0.743
1749231837.4741893,0.744
1749231837.487778,0.743
1749231837.5455794,0.744
1749231837.5652165,0.744
1749231837.580784,0.744
1749231837.609413,0.743
1749231837.6326501,0.744
1749231837.6488054,0.744
1749231837.6705856,0.744
1749231837.690688,0.744
1749231837.7078993,0.744
1749231837.734144,0.744
1749231837.7499344,0.744
1749231837.7767875,0.744
1749231837.7964005,0.744
1749231837.827267,0.744
1749231837.8421657,0.744
1749231837.8566747,0.744
1749231837.881334,0.744
1749231837.896739,0.744
1749231837.9119194,0.744
1749231837.971144,0.744
1749231838.0017211,0.744
1749231838.016928,0.745
1749231838.0414073,0.744
1749231838.0602055,0.744
1749231838.078395,0.743
1749231838.1023316,0.744
1749231838.1178062,0.744
1749231838.1333194,0.744
1749231838.1539545,0.743
1749231838.1720474,0.743
1749231838.1868613,0.745
1749231838.204463,0.744
1749231838.2203374,0.744
1749231838.2432828,0.744
1749231838.262482,0.744
1749231838.278229,0.744
1749231838.3000383,0.744
1749231838.314826,0.744
1749231838.3477774,0.743
1749231838.3643212,0.744
1749231838.382314,0.744
1749231838.401254,0.744
1749231838.4163697,0.744
1749231838.4491575,0.743
