time,relative_time,yaw_angle,target_yaw,error,gyro_rate,motor_cmd,controller_active
1751144564,0.017480612,0.790201843,0,-0.790201843,0.14989313,CW,TRUE
1751144564,0.044998646,0.813508434,0,-0.813508434,1.668977099,CW,TRUE
1751144564,0.072488785,0.883678883,0,-0.883678883,3.043022901,CW,TRUE
1751144564,0.099986076,0.991272449,0,-0.991272449,4.386534351,CW,TRUE
1751144564,0.127494097,1.141298792,0,-1.141298792,5.875083969,CCW,TRUE
1751144564,0.155138493,1.28729975,0,-1.28729975,4.722412214,CCW,TRUE
1751144565,0.182736635,1.40200546,0,-1.40200546,3.752946565,CCW,TRUE
1751144565,0.210263491,1.483458462,0,-1.483458462,2.592641221,CCW,TRUE
1751144565,0.237737656,1.531294212,0,-1.531294212,1.317832061,CCW,TRUE
1751144565,0.265209198,1.608813967,0,-1.608813967,0.646076336,CCW,TRUE
1751144565,0.292679071,1.608737636,0,-1.608737636,-0.308122137,CCW,TRUE
1751144565,0.321005344,1.585176636,0,-1.585176636,-1.185984733,CCW,TRUE
1751144565,0.350696802,1.534688477,0,-1.534688477,-2.292854962,CCW,TRUE
1751144565,0.380382538,1.499253047,0,-1.499253047,-3.430259542,CCW,TRUE
1751144565,0.410135746,1.36978533,0,-1.36978533,-4.766137405,CCW,TRUE
1751144565,0.437764883,1.207757013,0,-1.207757013,-5.743236641,CW,TRUE
1751144565,0.465275288,1.061575454,0,-1.061575454,-4.514229008,CW,TRUE
1751144565,0.492748022,0.955669389,0,-0.955669389,-3.537129771,CW,TRUE
1751144565,0.520233393,0.875069285,0,-0.875069285,-2.247053435,CW,TRUE
1751144565,0.547724009,0.839087306,0,-0.839087306,-0.796671756,CW,TRUE
1751144565,0.575206041,0.836075475,0,-0.836075475,0.600274809,CW,TRUE
1751144565,0.602673769,0.873551873,0,-0.873551873,1.981954198,CW,TRUE
1751144565,0.631773472,0.950845136,0,-0.950845136,3.508671756,CW,TRUE
