time,relative_time,yaw_angle,target_yaw,error,gyro_rate,motor_cmd,controller_active
1751144602.4464977,0.017568588256835938,180.4131649852638,180.0,-0.41316498526379064,0.16516030534351778,STOP,True
1751144602.4740424,0.045113325119018555,180.4162501510811,180.0,-0.4162501510811012,0.11172519083970078,STOP,True
1751144602.501628,0.07269883155822754,180.41953458463524,180.0,-0.41953458463524385,0.027755725190846015,STOP,True
1751144602.5291643,0.1002352237701416,180.4093505324154,180.0,-0.4093505324154023,-0.19361832061068096,STOP,True
1751144602.5566633,0.12773418426513672,180.40612124873314,180.0,-0.40612124873314315,-0.3615572519083905,STOP,True
1751144602.5841968,0.15526771545410156,180.39323964489523,180.0,-0.3932396448952318,-0.47606106870228393,STOP,True
1751144602.6134832,0.1845541000366211,180.37865746293556,180.0,-0.3786574629355641,-0.7737709923664058,STOP,True
1751144602.6432183,0.21428918838500977,180.35196590746102,180.0,-0.35196590746102174,0.7911145038168002,STOP,True
1751144602.6729422,0.24401307106018066,180.324876366135,180.0,-0.32487636613498694,-1.0943816793893069,STOP,True
1751144602.7023768,0.27344775199890137,180.28809990307045,180.0,-0.28809990307044586,-1.2623206106870168,STOP,True
1751144602.7298923,0.3009631633758545,180.2426173030549,180.0,-0.2426173030549137,-1.483694656488543,STOP,True
1751144602.7573857,0.3284566402435303,180.1955009867983,180.0,-0.19550098679829375,-1.5676641221373981,STOP,True
1751144602.7848966,0.35596752166748047,180.14484499022814,180.0,-0.1448449902281368,-1.8653740458015204,STOP,True
1751144602.8141844,0.3852553367614746,180.09645358392135,180.0,-0.0964535839213454,-2.002778625954192,STOP,True
1751144602.8439093,0.4149801731109619,180.03354052953517,180.0,-0.03354052953517339,-2.3081221374045735,STOP,True
1751144602.8736382,0.44470906257629395,179.96788756267912,180.0,0.0321124373208761,-2.2775877862595357,STOP,True
1751144602.9029799,0.47405076026916504,179.89246211705697,180.0,0.1075378829430349,-2.5218625954198415,STOP,True
1751144602.930486,0.5015568733215332,179.81691447415258,180.0,0.18308552584741733,-2.789038167938925,STOP,True
1751144602.958011,0.5290818214416504,179.74188449121448,180.0,0.25811550878552225,-3.155450381679383,STOP,True
1751144602.985649,0.5567200183868408,179.66436785026013,180.0,0.3356321497398653,-3.155450381679383,STOP,True
1751144603.0151083,0.586179256439209,179.58621872837142,180.0,0.41378127162857936,-3.1783511450381616,STOP,True
1751144603.044847,0.6159179210662842,179.487756851626,180.0,0.5122431483740115,-3.353923664122131,STOP,True
1751144603.0745723,0.6456432342529297,179.38529148810892,180.0,0.6147085118910809,-3.575297709923658,STOP,True
1751144603.1039264,0.6749973297119141,179.27266836890755,180.0,0.7273316310924542,-3.491328244274803,STOP,True
1751144603.1314602,0.702531099319458,179.1621123224362,180.0,0.8378876775637991,-3.9798778625954134,STOP,True
1751144603.1589766,0.7300474643707275,179.0536085032909,180.0,0.9463914967091114,-4.063847328244268,STOP,True
1751144603.1864839,0.7575547695159912,178.94221980746482,180.0,1.0577801925351764,-4.460793893129765,CW,True
1751144603.2157648,0.7868356704711914,178.84051244997812,180.0,1.159487550021879,-3.3310229007633523,CW,True
1751144603.2454922,0.8165631294250488,178.76619457419608,180.0,1.2338054258039222,-2.0943816793893064,CW,True
1751144603.275349,0.8464198112487793,178.72350370514135,180.0,1.2764962948586458,-0.5829312977099175,CW,True
1751144603.3047028,0.8757736682891846,178.71638373567873,180.0,1.2836162643212674,0.44760305343512075,CW,True
1751144603.3322024,0.903273344039917,178.7420572640588,180.0,1.2579427359412136,1.2567633587786322,CW,True
1751144603.3597078,0.9307787418365479,178.7871166428138,180.0,1.2128833571862003,2.1575267175572583,CW,True
1751144603.3872151,0.9582860469818115,178.91701635068807,180.0,1.0829836493119274,3.264396946564892,CCW,True
1751144603.416423,0.9874939918518066,178.9855930852673,180.0,1.0144069147326888,1.9666870229007696,CCW,True
1751144603.4461482,1.017219066619873,179.06581665283684,180.0,0.934183347163156,0.47813740458015896,CCW,True
1751144603.4758656,1.0469365119934082,179.0616500307769,180.0,0.9383499692231112,-1.025679389312971,CCW,True
1751144603.5054305,1.0765013694763184,179.01460746940597,180.0,0.9853925305940265,-2.269954198473276,CCW,True
1751144603.5329292,1.1040000915527344,178.92698674286427,180.0,1.0730132571357274,-3.5523969465648793,CCW,True
1751144603.5606005,1.13167142868042,178.80842185168245,180.0,1.1915781483175465,-5.117282442748085,CCW,True
1751144603.588101,1.1591718196868896,178.64515269915034,180.0,1.3548473008496558,-6.476061068702283,CW,True
1751144603.6172953,1.188366174697876,178.47984251825332,180.0,1.5201574817466792,-5.506595419847322,CW,True
1751144603.6470258,1.2180967330932617,178.343344640499,180.0,1.656655359501002,-4.300488549618315,CW,True
1751144603.6767905,1.247861385345459,178.23115012111387,180.0,1.7688498788861295,-3.0638473282442686,CW,True
1751144603.7062962,1.277367115020752,178.16015766001127,180.0,1.839842339988735,-2.03331297709923,CW,True
1751144603.7338092,1.304880142211914,178.12473246198044,180.0,1.875267538019557,-0.7814045801526657,CW,True
1751144603.761311,1.3323819637298584,178.1154158042225,180.0,1.8845841957775065,-0.10964885496182575,CW,True
1751144603.7888217,1.3598926067352295,178.12982445461347,180.0,1.8701755453865303,1.1956946564885558,CW,True
1751144603.817979,1.389050006866455,178.175319472233,180.0,1.8246805277669864,1.9666870229007696,CW,True
1751144603.8478386,1.4189095497131348,178.31492342453166,180.0,1.6850765754683437,3.29493129770993,CW,True
1751144603.877634,1.4487049579620361,178.43203377896975,180.0,1.5679662210302467,4.272030534351151,CW,True
